"name","weightingms","discountsellingprice","price_per_gram"
"Nupur Heena Mehandi",500,1.99,0.00
"24 Mantra Mustard Oil (Cold Pressed) ",1000,3.12,0.00
"The Whole Truth Peanut Butter - Unsweetened & Crunchy",325,1.48,0.00
"Popular Essentials Masoor Dal Split (Un-Polished)",500,0.63,0.00
"Raw Banana",500,0.17,0.00
"MTR Dal Makhani",300,1.10,0.00
"Godrej Real Good Chicken Whole Pre-Cut",1000,2.70,0.00
"Amul Spray Infant Milk Food",500,1.93,0.00
"Baby Corn Peeled",250,0.29,0.00
"Kitchens of India Dal Bukhara Gravy Mix",285,0.77,0.00
"Popular Essentials Pancharatna Dal",500,0.72,0.00
"24 Mantra Organic Pancharatna Dal - Split",500,1.20,0.00
"24 Mantra Organic Red Poha",500,0.69,0.00
"Popular Essentials Plain Puffed Rice (Murmura/Muri)",100,0.18,0.00
"McVitie's Marie biscuits with Goodness of Calcium",250,0.30,0.00
"Sunfeast Yumfills Whoopie Pie",253,1.05,0.00
"Ridge Gourd",500,0.25,0.00
"Kissan Pineapple Jam",500,1.49,0.00
"Go Cheese Spread - Four Pepper (Soft & Creamy)",200,0.94,0.00
"Tata Sampann High Protein Kali Urad",500,0.78,0.00
"Chakaachak Super Scrub Pad (Pack of 3)",174,0.34,0.00
"Oxi Green Floor Cleaner - Floral",1000,1.61,0.00
"The Bake Shop Premium White Sandwich Bread",400,0.30,0.00
"Amulya Dairy Whitener ",1000,3.72,0.00
"Weikfield Falooda Mix - Kesar Pista",200,0.48,0.00
"Weikfield Vanilla Custard Powder",500,1.28,0.00
"Ching's Schezwan Masala Instant Noodles",240,0.60,0.00
"Dhara Nourish Refined Sunflower Oil Pouch",1000,1.99,0.00
"Zorabian Pre Cut Chicken Skinless (Half)",500,1.65,0.00
"Veeba Sweet Onion Sauce",350,1.21,0.00
"Carrot",250,0.11,0.00
"Amul Delicious Fat Spread - Cholesterol Free",100,0.17,0.00
"Ariel Matic Liquid Detergent Front Load",1000,2.25,0.00
"Veet Full Body Waxing Kit",1160,2.18,0.00
"Hamam Soap Bar Neem Tulsi and Aloe Vera",150,0.58,0.00
"Aashirvaad Select Sharbati Atta",5000,2.83,0.00
"Amul Pure Ghee (Pouch)",500,2.49,0.00
"Pril Perfect Lime Dishwash Liquid",750,1.75,0.00
"Veet Full Body Waxing Kit For Dry Skin",1160,2.18,0.00
"Britannia Toastea (Premium Bake Rusk)",400,0.65,0.00
"Stayfree Secure Dry Cover Regular Sanitary Pad With Wings",406,0.29,0.00
"Dhara Filtered Groundnut Oil (Jar)",5000,10.50,0.00
"Godrej Ezee Liquid Detergent",1000,1.75,0.00
"Amul Cheese - Block",500,2.40,0.00
"Hershey's Chocolate Syrup",200,0.95,0.00
"Dabur Regular Hajmola",120,0.42,0.00
"The Bake Shop Methi Khari Simply Delicious",200,0.61,0.00
"24 Mantra Groundnut Oil (Cold Pressed) Pet Bottle",1000,3.69,0.00
"Onion",1000,0.21,0.00
"Gowardhan Classic Block Fresh Paneer",200,0.81,0.00
"Amul Butter - Pasteurised",100,0.49,0.00
"Fortune Biriyani Special Basmati Rice",1000,1.75,0.00
"Fiama Fresh Hand Wash",400,1.40,0.00
"Sunfeast Dark Fantasy Bourbon Bliss",150,0.35,0.00
"Arden Eggs White",348,0.55,0.00
"Sunfeast Dark Fantasy Choco Creme",300,0.58,0.00
"Pillsbury Multi Grain Atta",1000,0.56,0.00
"Sunfeast Dark Fantasy Vanilla Creme",300,0.68,0.00
"Bio Nutrients Pure Diet Tofu Gold ",200,0.57,0.00
"Papaya Cut",200,0.39,0.00
"Popular Essentials Kabuli Chana Regular",500,0.77,0.00
"Britannia Pav",250,0.22,0.00
"The Bake Shop Bread Crumbs",400,0.47,0.00
"Dettol Original Liquid Handwash",200,0.85,0.00
"Pedigree Dog Food Adult Meat & Rice",3000,6.08,0.00
"24 Mantra Organic Roasted Bengal Gram Dal",500,0.97,0.00
"The Bake Shop Whole Wheat Bread",400,0.40,0.00
"Biryani /Pulav Mix",250,0.49,0.00
"MTR Vada Breakfast",500,2.00,0.00
"Popular Essentials Jowa Flour",500,0.49,0.00
"TGFC Chicken Curry Cut Fresh",500,1.86,0.00
"Britannia Pure Magic Choco Lush Cookies",300,0.96,0.00
"Borges Durum Wheat Pasta Superior Quality",500,1.49,0.00
"Kitchens of India Mutter Paneer Mix",285,0.84,0.00
"Coccinia",250,0.27,0.00
"India Gate Basmati Rice",1000,2.10,0.00
"Sunfeast Yippee! Mood Masala Noodles",260,0.43,0.00
"Comfort After Wash Fabric Conditioner Lily Fresh ",860,2.12,0.00
"Ariel Matic Top Load Detergent Washing Powder",2000,4.99,0.00
"Colgate Plax Peppermint Mouthwash",250,1.20,0.00
"Om Bhakti Gangajal Packed At Gangotri",220,0.29,0.00
"Dukes Waffy Chocolate Wafer Rolls ",250,0.75,0.00
"Veeba Favourites Eggless Burger Mayonnaise",250,0.63,0.00
"Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodle",150,0.32,0.00
"Shubh kart - Shubhkart Sambrani Cup Black 12n",696,0.75,0.00
"Britannia Nutri Choice Digestive Biscuit",200,0.45,0.00
"Sunfeast Mom's Magic Cashew & Almond Cookies Packet",200,0.27,0.00
"Radish White",500,0.19,0.00
"Britannia Treat Jimjam Family Pack (Buy 4 Get 1 Free)",500,1.00,0.00
"Kellogg's Corn Flakes",1000,3.83,0.00
"Parle Monaco Sixer Salted Biscuits ",200,0.54,0.00
"Shubh kart - Tejas Twisted Cotton Wicks 1000n",1000,0.28,0.00
"Everest Turmeric Powder",200,0.60,0.00
"Johnson's Baby Skincare Wipes",1160,0.74,0.00
"Ching's Secret Just Soak - Whole Wheat Veg Hakka Noodles",600,1.23,0.00
"Popular Essentials Urad Gola Black (Un-Polished)",500,0.72,0.00
"Sunfeast Yippee! Power Up Atta Noodles",280,0.81,0.00
"McCain Super Wedges",400,1.11,0.00
"Britannia Goodday Chocochip Cookies",400,0.99,0.00
"Kellogg's Real Honey Corn Flakes",630,2.67,0.00
"Veeba Cheese and Chilli Sandwich Spread",275,0.79,0.00
"Dabur Keora water - Authentic flavour for Biryani's and Desserts",250,0.58,0.00
"Fortune Sunlite Refined Sunflower (Jar)",5000,9.25,0.00
"Ginger",200,0.12,0.00
"Eastern Fish Masala",100,0.47,0.00
"Dettol Intense Cool Soap (B4G1)",625,2.47,0.00
"Dabur Amla Juice",1000,1.99,0.00
"Britannia Brown Bread ",400,0.42,0.00
"Kellogg's Chocos",700,2.69,0.00
"Praakritik Organic Jowar Atta",500,1.03,0.00
"Zucchini Yellow",250,0.35,0.00
"Fevicol Mr.Original General Purpose White Glue ",105,0.49,0.00
"Kitchens Of India Chicken Chettinad",285,1.40,0.00
"Britannia Burger Bun with Sesame Seed",100,0.15,0.00
"Popular Essentials Black Urad Split",500,0.72,0.00
"Patanjali Kesh Kanti Shikakai Hair Cleanser",200,0.95,0.00
"Patanjali Atta Doodh Rusk",300,0.40,0.00
"Durex Extra Time Condoms",580,2.05,0.00
"McCain French Fries",420,1.14,0.00
"Popular Essentials Kashmiri Red Rajma",500,0.89,0.00
"Kitchens Of India Chicken Darbari ",285,1.40,0.00
"Satyam Singdana ",500,1.11,0.00
"Oxi Green Phenyl - Pine ",1000,0.74,0.00
"Popular Essentials Chia Seeds",100,0.49,0.00
"Durex Extra Ribbed Condoms",580,2.20,0.00
"Britannia Good Day Cashew Cookies Packet",200,0.38,0.00
"Saffola 100% Pure Honey",1000,4.37,0.00
"Tata Salt Lite",1000,0.36,0.00
"The Bake Shop Jeera Khari",200,0.65,0.00
"Beans Broad",250,0.35,0.00
"Prasuma Vegetable Momos",580,1.50,0.00
"24 Mantra Organic Masoor Dal - Split",500,0.88,0.00
"Dabur Hommade - Ginger Paste",200,0.47,0.00
"Whisper Choice Ultra XL Sanitary Pad",1160,1.30,0.00
"Patanjali Kesh Kanti Reetha Hair Cleanser",200,0.85,0.00
"Godrej Real Good Chicken Curry Cut",500,1.58,0.00
"Lifebuoy Germ Protection Care Soap Bar",100,0.29,0.00
"Amul Lite Spread",100,0.39,0.00
"Dukes Nibbles - Ranch Crackers",150,0.50,0.00
"Britannia Good Day Chunky Cookies",120,0.43,0.00
"Saffola Gold (Jar)",5000,12.40,0.00
"Nimyle Lemongrass Floor Cleaner",975,1.56,0.00
"Funfoods Peanut Butter Crunchy",400,1.56,0.00
"Zorabian Chicken Legs Skinless",450,2.10,0.00
"Dabur Hommade - Rajasthan Ki Garlic Chutne",200,0.61,0.00
"RRO Primio Refined Groundnut Oil Pet Bottle",1000,2.39,0.00
"Mortein Cockroach Killer Spray, Crawling insect killer with Deep-Reach Nozzle",425,1.79,0.00
"Stayfree Secure XL Size Sanitary Napkins",1160,1.15,0.00
"Safal Frozen Corn",200,0.39,0.00
"Lizol Disinfectant Surface & Floor Cleaner Liquid Pine",975,1.88,0.00
"Kelloggs Corn Flakes With Real Strawberry Pure",575,2.36,0.00
"Tata Sampann Moong Dal Split",1000,1.78,0.00
"Tata Sampann High Protien Chana Dal - Split",500,0.64,0.00
"Scotch Brite Silver Sparks Scrub Pad",348,0.81,0.00
"Fresh Chicken Curry Cut - Skinless (Halal)",500,1.40,0.00
"24 Mantra Super Grain Quinoa",500,1.90,0.00
"Coriander Leaves",100,0.17,0.00
"RRO Primio Refined Groundnut (Jar)",2000,4.36,0.00
"Dabur Chyawanprash",950,3.38,0.00
"Oxi Green Max Force Green Concentrate",500,0.96,0.00
