"mrp","discountsellingprice"
0.32,0.27
0.54,0.45
1.77,1.49
0.32,0.27
0.30,0.25
1.89,1.59
0.30,0.25
0.23,0.19
0.35,0.29
0.35,0.29
0.35,0.29
0.42,0.35
0.20,0.17
0.29,0.24
0.35,0.29
0.38,0.32
0.89,0.75
0.54,0.45
0.70,0.59
0.42,0.35
1.42,1.19
0.94,0.79
0.20,0.17
0.17,0.14
0.30,0.25
0.46,0.39
0.58,0.49
0.82,0.69
0.70,0.59
0.20,0.17
0.60,0.50
0.58,0.49
0.54,0.45
0.30,0.25
0.54,0.45
0.23,0.19
1.77,1.49
0.12,0.10
0.25,0.21
0.20,0.17
1.10,1.05
0.37,0.31
0.16,0.13
0.26,0.21
0.19,0.15
0.17,0.13
0.13,0.11
0.11,0.09
0.35,0.29
0.60,0.57
0.41,0.39
1.60,1.52
0.12,0.12
0.80,0.68
0.24,0.24
0.97,0.97
0.65,0.55
2.30,2.19
2.50,2.45
2.55,2.49
0.85,0.79
0.40,0.36
2.15,2.15
9.25,9.25
2.25,1.99
2.10,2.10
5.05,4.99
4.60,3.99
1.60,1.49
5.20,5.09
1.97,1.91
0.50,0.49
0.64,0.62
10.05,9.99
0.25,0.25
1.85,1.83
2.30,2.03
12.00,9.84
0.80,0.68
0.94,0.94
12.50,11.43
0.54,0.51
0.15,0.15
0.25,0.23
0.15,0.15
3.15,3.09
0.92,0.88
0.64,0.64
0.15,0.15
5.98,5.79
0.20,0.20
0.60,0.60
2.16,1.99
0.15,0.15
0.23,0.23
0.79,0.79
3.15,2.83
2.95,2.65
5.79,5.21
2.10,1.99
0.40,0.37
0.18,0.18
0.56,0.54
12.40,12.40
1.20,1.18
10.50,10.39
1.10,0.95
5.85,4.62
1.75,1.75
0.78,0.72
0.90,0.75
2.10,2.06
2.95,2.81
0.40,0.38
0.30,0.29
0.37,0.33
0.95,0.89
1.12,1.09
4.50,3.75
0.39,0.38
2.05,1.90
4.00,2.99
0.70,0.60
3.50,2.51
0.25,0.25
2.35,2.12
0.85,0.77
0.52,0.52
0.45,0.44
0.35,0.34
2.45,1.72
1.01,0.94
3.25,2.83
0.60,0.54
1.34,1.25
0.42,0.41
0.70,0.60
0.70,0.65
1.32,1.28
0.65,0.59
2.60,2.08
0.99,0.89
0.65,0.58
1.35,1.25
0.90,0.81
1.35,1.15
1.50,1.34
0.95,0.88
1.99,1.84
4.85,4.49
2.10,2.10
0.75,0.69
0.98,0.89
0.94,0.90
0.30,0.28
0.95,0.86
0.60,0.43
1.60,0.80
0.25,0.20
1.13,1.01
1.10,1.05
2.50,2.50
1.35,1.35
0.37,0.37
1.80,1.78
0.64,0.64
0.50,0.50
0.80,0.72
2.00,1.98
0.95,0.95
1.90,1.69
0.20,0.20
0.33,0.32
1.85,1.67
0.91,0.78
0.37,0.36
1.60,0.80
1.80,1.62
0.60,0.54
0.35,0.34
0.89,0.80
0.80,0.72
0.44,0.44
10.50,10.35
0.99,0.94
2.30,2.30
0.60,0.56
1.20,1.18
0.43,0.43
0.25,0.25
0.15,0.15
0.70,0.70
2.20,2.05
0.55,0.46
0.70,0.65
1.20,1.20
0.40,0.39
0.48,0.47
0.65,0.52
0.35,0.33
2.15,2.15
1.02,0.94
0.85,0.79
